GEOID,POPULATION,WORK AVAILABILITY,EDUCATION,SIGNAL
15000US060014001001,655,0.633969466,0.838515053,0.51707136
15000US060014002001,363,0.569559229,0.850818071,0.411207327
15000US060014002002,333,0.57957958,0.824915493,0.396596106
15000US060014003001,696,0.552083333,0.863350462,0.393301433
15000US060014003002,562,0.590747331,0.807462121,0.394122846
15000US060014003003,371,0.627358491,0.687135615,0.290682169
15000US060014003004,518,0.663127413,0.800192982,0.514902265
15000US060014004001,635,0.612598425,0.870533104,0.520887441
15000US060014004002,581,0.624784854,0.78575928,0.425485433
15000US060014004003,696,0.639008621,0.809507909,0.484839357
15000US060014005001,1485,0.634343434,0.769555667,0.419251134
15000US060014005002,395,0.689240506,0.744465291,0.475454057
15000US060014005003,330,0.671969697,0.801380368,0.53263594
15000US060014006001,603,0.671641791,0.772263907,0.487997556
15000US060014006002,233,0.611587983,0.754084507,0
15000US060014007001,525,0.686666667,0.696580381,0.397078906
15000US060014007002,609,0.651067323,0.668830189,0.30053195
15000US060014007003,501,0.594810379,0.754980916,0.331202166
15000US060014007004,475,0.628947368,0.675100756,0.276092551
15000US060014008001,773,0.63389392,0.718028962,0.344904788
15000US060014008002,475,0.615789474,0.754880295,0.366737115
15000US060014008003,551,0.674228675,0.746247002,0.45298801
15000US060014009001,551,0.639292196,0.691945392,0.316077217
15000US060014009002,443,0.631489842,0.758950525,0.399220929
15000US060014010001,532,0.735902256,0.649567497,0.39640243
15000US060014010002,637,0.662872841,0.713514938,0.385031432
15000US060014010003,802,0.572942643,0.684122271,0.202575901
15000US060014010004,442,0.653280543,0.723052392,0.383649357
15000US060014010005,562,0.677935943,0.662622642,0.331529253
15000US060014010006,448,0.608816964,0.707382199,0.28974952
15000US060014011001,273,0.629120879,0.802680653,0
15000US060014011002,890,0.579494382,0.803824228,0.368909019
15000US060014011003,554,0.650722022,0.702510684,0.349375649
15000US060014011004,590,0.678813559,0.739166667,0.449869023
15000US060014012001,625,0.6024,0.779363208,0.377190385
15000US060014012002,435,0.631609195,0.811491477,0.474169871
15000US060014012003,294,0.596088435,0.729127517,0
15000US060014013001,600,0.6475,0.70086225,0.341873385
15000US060014013002,791,0.722503161,0.675237691,0.418572686
15000US060014013003,689,0.653846154,0.726354942,0.389434117
15000US060014014001,497,0.734909457,0.618820423,0.344055174
15000US060014014002,871,0.716991963,0.684987634,0.425936199
15000US060014014003,499,0.74248497,0.595684932,0.31592365
15000US060014015001,494,0.655870445,0.618626974,0.233604968
15000US060014015002,423,0.658983452,0.71867893,0.386445561
15000US060014015003,436,0.658256881,0.719859719,0.387020116
15000US060014016001,588,0.620323129,0.68919598,0.282672474
15000US060014016002,476,0.634453782,0.694690141,0.312458816
15000US060014017001,426,0.646713615,0.721312608,0.370420479
15000US060014017002,916,0.642194323,0.71323603,0.351395908
15000US060014017003,18,1,0.71,0
15000US060014018001,491,0.697556008,0.752211896,0.501568428
15000US060014018002,416,0.733173077,0.636812977,0.371347197
15000US060014022001,371,0.669811321,0.638039568,0.282316421
15000US060014022002,411,0.716545012,0.695273632,0.441847283
15000US060014022003,304,0.667763158,0.72541779,0.410792873
15000US060014024001,941,0.66445271,0.685823529,0.346128058
15000US060014024002,457,0.762035011,0.673008,0.474868503
15000US060014025001,474,0.725738397,0.619461426,0.332320361
15000US060014025002,239,0.825313808,0.600480769,0
15000US060014026001,530,0.666981132,0.664708625,0.318313395
15000US060014027001,547,0.678244973,0.714307229,0.410946061
15000US060014027002,505,0.674752475,0.664639719,0.329843574
15000US060014028001,650,0.678461538,0.71936673,0.419026066
15000US060014028002,1229,0.665581774,0.708487179,0.381847692
15000US060014029001,728,0.644230769,0.723411168,0.369431808
15000US060014030001,566,0.621466431,0.688725762,0.28378904
15000US060014030002,317,0.687697161,0.629668616,0.295053879
15000US060014031001,852,0.723591549,0.727727675,0.505775065
15000US060014033001,1383,0.609363702,0.802037351,0.420534669
15000US060014033002,484,0.682334711,0.59378821,0.232305717
15000US060014034001,257,0.628404669,0.825934861,0
15000US060014034002,654,0.616590214,0.763793103,0.380476462
15000US060014034003,482,0.611514523,0.789806452,0.407573912
15000US060014034004,799,0.602628285,0.720574713,0.29779585
15000US060014035011,806,0.619416873,0.742776978,0.356018769
15000US060014035012,1224,0.673815359,0.759240025,0.472012374
15000US060014035013,189,0.703703704,0.713153846,0
15000US060014035021,538,0.606877323,0.81229308,0.430061647
15000US060014035022,690,0.612318841,0.757881679,0.364975536
15000US060014036001,612,0.64869281,0.738952497,0.399409282
15000US060014036002,1131,0.67749779,0.741640962,0.451454127
15000US060014036003,1118,0.613372093,0.804168421,0.430719821
15000US060014037011,612,0.639705882,0.774486071,0.435649821
15000US060014037012,940,0.586968085,0.793040801,0.368183799
15000US060014037021,331,0.539274924,0.797699115,0.288652282
15000US060014037022,692,0.599349711,0.798911392,0.398224863
15000US060014038001,131,0.692748092,0.85898263,0
15000US060014038002,326,0.533742331,0.82524181,0.311822979
15000US060014038003,462,0.625541126,0.79408805,0.438558586
15000US060014038004,766,0.585182768,0.815095238,0.394063371
15000US060014039001,860,0.614244186,0.80176427,0.428973293
15000US060014039002,219,0.688356164,0.803240901,0
15000US060014039003,709,0.67877292,0.751523126,0.468692315
15000US060014040001,1281,0.639539422,0.791684982,0.460133869
15000US060014040002,549,0.622040073,0.790797688,0.427686775
15000US060014041011,525,0.576190476,0.804932171,0.364365194
15000US060014041012,1062,0.610640301,0.812244373,0.436879272
15000US060014041021,533,0.558161351,0.779319372,0.299478915
15000US060014041022,416,0.578125,0.760407332,0.309894974
15000US060014042001,198,0.651515152,0.8345,0
15000US060014042002,213,0.627934272,0.833247588,0
15000US060014042003,298,0.589765101,0.837330508,0
15000US060014043001,354,0.583333333,0.86473301,0.455885567
15000US060014043002,240,0.651041667,0.816485714,0
15000US060014043003,357,0.643557423,0.831240951,0.524635517
15000US060014044001,772,0.564443005,0.834636717,0.380831214
15000US060014044002,396,0.636994949,0.823588184,0.50136929
15000US060014044003,427,0.620608899,0.819359684,0.465062354
15000US060014045011,472,0.64565678,0.858370484,0.568018957
15000US060014045021,118,0.688559322,0.828119835,0
15000US060014045022,242,0.608471074,0.826318743,0
15000US060014045023,307,0.553745928,0.808549263,0.328184871
15000US060014045024,549,0.631602914,0.833468372,0.505422477
15000US060014046001,202,0.631188119,0.828368954,0
15000US060014046002,149,0.672818792,0.810546875,0
15000US060014046003,380,0.7,0.831336161,0.630459846
15000US060014046004,385,0.574675325,0.79830036,0.35303424
15000US060014047001,323,0.651702786,0.822475387,0.527018988
15000US060014047002,288,0.646701389,0.826462264,0
15000US060014048001,606,0.653877888,0.744266212,0.415865033
15000US060014048002,322,0.660714286,0.773122066,0.470267262
15000US060014049001,179,0.57122905,0.820706861,0
15000US060014049002,330,0.573484848,0.743535448,0.280154591
15000US060014049003,318,0.642295597,0.743442029,0.395256788
15000US060014049004,424,0.63384434,0.827411273,0.500982874
15000US060014050001,302,0.636589404,0.792048611,0.455394925
15000US060014050002,251,0.647410359,0.828487929,0
15000US060014050003,583,0.622641509,0.78830298,0.425259434
15000US060014051001,192,0.6328125,0.852178218,0
15000US060014051002,81,0.62345679,0.808298677,0
15000US060014051003,325,0.589230769,0.881568088,0.489714586
15000US060014051004,202,0.592821782,0.848417431,0
15000US060014051005,277,0.673285199,0.827097561,0
15000US060014052001,640,0.6671875,0.78006856,0.491978082
15000US060014052002,454,0.613986784,0.738943338,0.341632693
15000US060014052003,630,0.651984127,0.773633572,0.45581624
15000US060014052004,857,0.562718786,0.777827121,0.305587236
15000US060014053011,1131,0.609637489,0.765402098,0.370724836
15000US060014053012,411,0.673965937,0.750121107,0.458427308
15000US060014053021,573,0.652705061,0.737562568,0.404043821
15000US060014053022,606,0.639026403,0.668924855,0.282529309
15000US060014054011,1007,0.675521351,0.654447703,0.315487342
15000US060014054012,592,0.675253378,0.628427562,0.275518181
15000US060014054013,430,0.665697674,0.655268456,0.302237442
15000US060014054021,685,0.669343066,0.642219653,0.287945364
15000US060014054022,741,0.695006748,0.627997602,0.30280477
15000US060014055001,401,0.663341646,0.657046549,0.301416803
15000US060014055002,385,0.661688312,0.715511983,0.386104092
15000US060014055003,515,0.677669903,0.662350299,0.330716511
15000US060014055004,564,0.648492908,0.759532934,0.429136992
15000US060014056001,238,0.676470588,0.692666667,0
15000US060014056002,559,0.65608229,0.767447109,0.453815361
15000US060014056003,628,0.647691083,0.765712209,0.436779766
15000US060014057001,756,0.761574074,0.628060046,0.397069265
15000US060014057002,580,0.712931034,0.600459559,0.2839384
15000US060014057003,515,0.645145631,0.638245856,0.247169449
15000US060014058001,574,0.668989547,0.642584459,0.287983688
15000US060014058002,423,0.69858156,0.664927302,0.365968193
15000US060014058003,473,0.738900634,0.617604167,0.347593903
15000US060014058004,310,0.693548387,0.665696594,0.359631997
15000US060014059011,573,0.767015707,0.549440994,0.268945919
15000US060014059012,662,0.719033233,0.60075641,0.292672031
15000US060014059013,438,0.788812785,0.586958637,0.362577342
15000US060014059021,585,0.736324786,0.614640884,0.339096265
15000US060014059022,758,0.706134565,0.655642738,0.362513199
15000US060014060001,551,0.661978221,0.741375839,0.425134433
15000US060014060002,119,0.731092437,0.611403509,0
15000US060014060003,907,0.68522602,0.682647887,0.373315669
15000US060014061001,625,0.7036,0.682131783,0.400748866
15000US060014061002,352,0.735795455,0.639805447,0.380067857
15000US060014061003,587,0.613713799,0.749594743,0.355901745
15000US060014061004,655,0.751526718,0.638620155,0.400731267
15000US060014062011,397,0.714105793,0.647827004,0.361713655
15000US060014062012,436,0.728211009,0.666320755,0.412628164
15000US060014062013,691,0.700795948,0.64552677,0.338662074
15000US060014062014,403,0.766129032,0.608643678,0.370008092
15000US060014062021,435,0.656321839,0.633879781,0.256781605
15000US060014062022,599,0.742487479,0.617384615,0.352216251
15000US060014062023,1278,0.710093897,0.684493597,0.414503505
15000US060014063001,435,0.694827586,0.645061538,0.329256289
15000US060014063002,435,0.736781609,0.628031634,0.36195047
15000US060014063003,389,0.714652956,0.71745098,0.474582017
15000US060014063004,338,0.707840237,0.635058824,0.332215054
15000US060014064001,244,0.68954918,0.705778689,0
15000US060014064002,454,0.765418502,0.652904523,0.445339206
15000US060014065001,607,0.664744646,0.661080818,0.309533349
15000US060014065002,551,0.67831216,0.625820433,0.275864537
15000US060014065003,1033,0.672797677,0.652328605,0.308261304
15000US060014065004,567,0.722663139,0.63154848,0.347703586
15000US060014066011,306,0.638071895,0.625213483,0.218270997
15000US060014066012,553,0.669981917,0.622647363,0.259334257
15000US060014066013,692,0.687138728,0.665609467,0.349886641
15000US060014066014,166,0.605421687,0.629714286,0
15000US060014066021,422,0.628554502,0.695598802,0.304514726
15000US060014066022,649,0.688751926,0.633549618,0.302570412
15000US060014067001,331,0.648791541,0.787166667,0.470029146
15000US060014067002,80,0.8,0.827208122,0
15000US060014067003,845,0.717159763,0.707474371,0.462517745
15000US060014067004,206,0.640776699,0.767792453,0
15000US060014067005,58,0.607758621,0.775201238,0
15000US060014068001,245,0.668367347,0.784931238,0
15000US060014068002,348,0.623563218,0.816424116,0.46639155
15000US060014068003,368,0.639266304,0.736078767,0.37958228
15000US060014068004,485,0.679896907,0.699535604,0.390983075
15000US060014069001,52,0.615384615,0.809102244,0
15000US060014069002,498,0.672690763,0.73868011,0.438938228
15000US060014069003,905,0.690607735,0.646614447,0.325540788
15000US060014070001,389,0.647172237,0.609616935,0.208351669
15000US060014070002,457,0.649890591,0.650517837,0.271954038
15000US060014070003,300,0.66,0.68259366,0
15000US060014070004,356,0.735252809,0.622553846,0.350716453
15000US060014070005,374,0.857620321,0.615259434,0.508210747
15000US060014071011,897,0.713210702,0.680496084,0.41288714
15000US060014071012,645,0.653488372,0.610349398,0.218102256
