Counties;GEOID;Number of Jobs
Alameda;15000US06001;758,255
Alpine;15000US06003;601
Amador;15000US06005;12,009
Butte;15000US06007;82,757
Calaveras;15000US06009;9,296
Colusa;15000US06011;9,928
Contra Costa;15000US06013;362,391
Del Norte;15000US06015;8,479
El Dorado;15000US06017;54,976
Fresno;15000US06019;385,389
Glenn;15000US06021;9,296
Humboldt;15000US06023;48,904
Imperial;15000US06025;62,163
Inyo;15000US06027;7,772
Kern;15000US06029;325,363
Kings;15000US06031;46,998
Lake;15000US06033;16,752
Lassen;15000US06035;10,814
Los Angeles;15000US06037;4,357,138
Madera;15000US06039;50,806
Marin;15000US06041;114,299
Mariposa;15000US06043;5,738
Mendocino;15000US06045;32,513
Merced;15000US06047;81,623
Modoc;15000US06049;2,706
Mono;15000US06051;6,801
Monterey;15000US06053;203,849
Napa;15000US06055;77,744
Nevada;15000US06057;30,629
Orange;15000US06059;1,564,693
Placer;15000US06061;158,122
Plumas;15000US06063;6,653
Riverside;15000US06065;688,722
Sacramento;15000US06067;640,476
San Benito;15000US06069;17,913
San Bernardino;15000US06071;706,656
San Diego;15000US06073;1,416,514
San Francisco;15000US06075;710,202
San Joaquin;15000US06077;244,309
San Luis Obispo;15000US06079;114,806
San Mateo;15000US06081;394,938
Santa Barbara;15000US06083;198,859
Santa Clara;15000US06085;1,053,323
Santa Cruz;15000US06087;107,095
Shasta;15000US06089;65,560
Sierra;15000US06091;577
Siskiyou;15000US06093;14,217
Solano;15000US06095;136,738
Sonoma;15000US06097;205,466
Stanislaus;15000US06099;189,694
Sutter;15000US06101;30,941
Tehama;15000US06103;18,919
Trinity;15000US06105;2,841
Tulare;15000US06107;163,223
Tuolumne;15000US06109;17,743
Ventura;15000US06111;316,763
Yolo;15000US06113;103,225
Yuba;15000US06115;17,421
