OBJECTID,Short_Name,Full_Name
1,B00001e1,UNWEIGHTED SAMPLE COUNT OF THE POPULATION: Total: Total population -- (Estimate)
2,B00001m1,UNWEIGHTED SAMPLE COUNT OF THE POPULATION: Total: Total population -- (Margin of Error)
3,B00002e1,UNWEIGHTED SAMPLE HOUSING UNITS: Total: Housing units -- (Estimate)
4,B00002m1,UNWEIGHTED SAMPLE HOUSING UNITS: Total: Housing units -- (Margin of Error)
5,B01001e1,SEX BY AGE: Total: Total population -- (Estimate)
6,B01001m1,SEX BY AGE: Total: Total population -- (Margin of Error)
7,B01001e2,SEX BY AGE: Male: Total population -- (Estimate)
8,B01001m2,SEX BY AGE: Male: Total population -- (Margin of Error)
9,B01001e3,SEX BY AGE: Male: Under 5 years: Total population -- (Estimate)
10,B01001m3,SEX BY AGE: Male: Under 5 years: Total population -- (Margin of Error)
11,B01001e4,SEX BY AGE: Male: 5 to 9 years: Total population -- (Estimate)
12,B01001m4,SEX BY AGE: Male: 5 to 9 years: Total population -- (Margin of Error)
13,B01001e5,SEX BY AGE: Male: 10 to 14 years: Total population -- (Estimate)
14,B01001m5,SEX BY AGE: Male: 10 to 14 years: Total population -- (Margin of Error)
15,B01001e6,SEX BY AGE: Male: 15 to 17 years: Total population -- (Estimate)
16,B01001m6,SEX BY AGE: Male: 15 to 17 years: Total population -- (Margin of Error)
17,B01001e7,SEX BY AGE: Male: 18 and 19 years: Total population -- (Estimate)
18,B01001m7,SEX BY AGE: Male: 18 and 19 years: Total population -- (Margin of Error)
19,B01001e8,SEX BY AGE: Male: 20 years: Total population -- (Estimate)
20,B01001m8,SEX BY AGE: Male: 20 years: Total population -- (Margin of Error)
21,B01001e9,SEX BY AGE: Male: 21 years: Total population -- (Estimate)
22,B01001m9,SEX BY AGE: Male: 21 years: Total population -- (Margin of Error)
23,B01001e10,SEX BY AGE: Male: 22 to 24 years: Total population -- (Estimate)
24,B01001m10,SEX BY AGE: Male: 22 to 24 years: Total population -- (Margin of Error)
