,GEOID,B03002e1,B03002m1,B03002e2,B03002m2,B03002e3,B03002m3,B03002e4,B03002m4,B03002e5,B03002m5,B03002e6,B03002m6,B03002e7,B03002m7,B03002e8,B03002m8,B03002e9,B03002m9,B03002e10,B03002m10,B03002e11,B03002m11,B03002e12,B03002m12,B03002e13,B03002m13,B03002e14,B03002m14,B03002e15,B03002m15,B03002e16,B03002m16,B03002e17,B03002m17,B03002e18,B03002m18,B03002e19,B03002m19,B03002e20,B03002m20,B03002e21,B03002m21,B03003e1,B03003m1,B03003e2,B03003m2,B03003e3,B03003m3,OBJECTID
0,15000US060014001001,3018,195,2935,194,2145,192,92,54,0,12,491,144,0,12,75,59,132,77,15,18,117,73,83,57,48,42,0,12,0,12,8,13,0,12,27,29,0,12,0,12,0,12,3018,195,2935,194,83,57,3
1,15000US060014002001,1105,103,949,98,768,105,4,6,4,6,59,34,0,12,5,9,109,57,0,12,109,57,156,63,122,67,0,12,0,12,0,12,0,12,9,10,25,23,5,7,20,21,1105,103,949,98,156,63,4
2,15000US060014002002,855,101,800,100,658,102,7,11,0,12,106,45,0,12,0,12,29,30,0,12,29,30,55,31,26,25,0,12,0,12,6,10,0,12,6,8,17,19,0,12,17,19,855,101,800,100,55,31,5
3,15000US060014003001,1466,533,1377,526,877,265,98,104,0,12,267,284,0,12,0,12,135,145,0,12,135,145,89,74,40,51,0,12,0,12,0,12,0,12,49,48,0,12,0,12,0,12,1466,533,1377,526,89,74,6
4,15000US060014003002,1265,248,1163,248,846,184,87,114,9,13,120,94,0,12,0,12,101,103,0,12,101,103,102,66,83,58,0,12,0,12,0,12,0,12,2,4,17,32,17,32,0,12,1265,248,1163,248,102,66,7
5,15000US060014003003,985,259,938,250,462,131,421,193,0,12,37,42,0,12,0,12,18,28,0,12,18,28,47,55,0,12,0,12,0,12,0,12,0,12,30,47,17,29,0,12,17,29,985,259,938,250,47,55,8
6,15000US060014003004,1520,321,1372,329,1161,340,0,12,0,12,175,96,36,55,0,12,0,12,0,12,0,12,148,124,148,124,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1520,321,1372,329,148,124,9
7,15000US060014004001,1387,209,1279,212,1066,196,10,16,0,12,174,110,0,12,0,12,29,31,0,12,29,31,108,59,108,59,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1387,209,1279,212,108,59,10
8,15000US060014004002,1193,236,1102,223,693,178,279,134,13,20,113,71,0,12,0,12,4,8,0,12,4,8,91,61,49,52,1,2,12,19,0,12,0,12,21,23,8,14,8,14,0,12,1193,236,1102,223,91,61,11
9,15000US060014004003,1591,270,1524,271,999,233,121,97,0,12,171,85,0,12,0,12,233,91,0,12,233,91,67,50,31,33,0,12,0,12,0,12,0,12,10,17,26,25,10,16,16,19,1591,270,1524,271,67,50,12
